timestamp,VWC,temp_soil,temp_room,temp_soil_shifted_1,temp_soil_shifted_2,temp_soil_shifted_3,temp_soil_shifted_4,temp_soil_shifted_5,temp_soil_shifted_6,temp_soil_predict
2017/11/22 07:35,0.37,21.6,20.67,21.6,21.6,21.6,21.6,21.6,21.6,21.5978
2017/11/22 07:40,0.37,21.6,20.72,21.6,21.6,21.6,21.6,21.6,21.6,21.5984
2017/11/22 07:45,0.37,21.6,20.79,21.6,21.6,21.6,21.6,21.6,21.6,21.5993
2017/11/22 07:50,0.37,21.7,20.82,21.6,21.6,21.6,21.6,21.6,21.6,21.5997
2017/11/22 07:55,0.37,21.6,20.86,21.7,21.6,21.6,21.6,21.6,21.6,21.7036
2017/11/22 08:00,0.37,21.6,20.89,21.6,21.7,21.6,21.6,21.6,21.6,21.5999
2017/11/22 08:05,0.37,21.6,20.91,21.6,21.6,21.7,21.6,21.6,21.6,21.6005
2017/11/22 08:10,0.37,21.6,20.94,21.6,21.6,21.6,21.7,21.6,21.6,21.6029
2017/11/22 08:15,0.37,21.7,20.98,21.6,21.6,21.6,21.6,21.7,21.6,21.5994
2017/11/22 08:20,0.37,21.7,21.01,21.7,21.6,21.6,21.6,21.6,21.7,21.7028
2017/11/22 08:25,0.37,21.7,21.05,21.7,21.7,21.6,21.6,21.6,21.6,21.7053
2017/11/22 08:30,0.37,21.7,21.13,21.7,21.7,21.7,21.6,21.6,21.6,21.706
2017/11/22 08:35,0.37,21.7,21.13,21.7,21.7,21.7,21.7,21.6,21.6,21.7076
2017/11/22 08:40,0.37,21.7,21.15,21.7,21.7,21.7,21.7,21.7,21.6,21.7055
2017/11/22 08:45,0.369,21.7,21.17,21.7,21.7,21.7,21.7,21.7,21.7,21.7029
2017/11/22 08:50,0.369,21.7,21.2,21.7,21.7,21.7,21.7,21.7,21.7,21.7033
2017/11/22 08:55,0.369,21.7,21.2,21.7,21.7,21.7,21.7,21.7,21.7,21.7033
2017/11/22 09:00,0.369,21.7,21.17,21.7,21.7,21.7,21.7,21.7,21.7,21.7029
2017/11/22 09:05,0.369,21.7,21.15,21.7,21.7,21.7,21.7,21.7,21.7,21.7027
2017/11/22 09:10,0.369,21.7,21.13,21.7,21.7,21.7,21.7,21.7,21.7,21.7024
2017/11/22 09:15,0.369,21.7,21.13,21.7,21.7,21.7,21.7,21.7,21.7,21.7024
2017/11/22 09:20,0.369,21.7,21.15,21.7,21.7,21.7,21.7,21.7,21.7,21.7027
2017/11/22 09:25,0.369,21.7,21.17,21.7,21.7,21.7,21.7,21.7,21.7,21.7029
2017/11/22 09:30,0.369,21.7,21.17,21.7,21.7,21.7,21.7,21.7,21.7,21.7029
